Day,TeamsSearch,SkypeSearch,MeetSearch,ZoomSearch,CovidSearch,CovidNewCases,PriceGOOGL,PriceMSFT,PriceZM
2019-12-27,6,56,2.0203252032520327,108.15447154471543,0,0,1354.640015,158.960007,66.639999
2019-12-28,3,44,1.5203252032520325,97.95121951219511,0,0,NA,NA,NA
2019-12-29,2,41,1.5203252032520325,91.82926829268293,0,0,NA,NA,NA
2019-12-30,5,55,2.0203252032520327,104.07317073170731,0,0,1339.709961,157.589996,66.790001
2019-12-31,5,46,1.0101626016260163,87.7479674796748,0,0,1339.390015,157.699997,68.040001
2020-01-01,2.7115967878406217,39.69277430272497,3.0236213977796833,49.96396331117585,0,0,NA,NA,NA
2020-01-02,8.923193575681243,56.53916145408746,3.5287026985926917,62.96511674059583,0,4.454545454545455,1368.680054,160.619995,68.720001
2020-01-03,9.423193575681243,55.03916145408746,3.5287026985926917,65.0057671470999,0,8.90909090909091,1361.52002,158.619995,67.279999
2020-01-04,3.7115967878406217,40.9043710905656,3.0236213977796833,56.843165521083634,0,13.363636363636363,NA,NA,NA
2020-01-05,4.211596787840621,43.4043710905656,3.5287026985926917,55.822840317831606,0,17.81818181818182,NA,NA,NA
2020-01-06,13.634790363521866,65.9623550297687,4.841764497178864,66.02609235035193,0,22.272727272727273,1397.810059,159.029999,70.32
2020-01-07,17.846387151362485,69.17395181760932,4.581601895552847,68.82399374725159,0,26.727272727272727,1395.109985,157.580002,71.900002
2020-01-08,15.134790363521866,71.17395181760932,4.841764497178864,68.06674275685599,0,31.18181818181818,1405.040039,160.089996,72.550003
2020-01-09,17.346387151362485,68.67395181760932,4.841764497178864,66.02609235035193,0,35.63636363636364,1419.790039,162.089996,72.620003
2020-01-10,13.634790363521866,65.4623550297687,4.331601895552847,68.82399374725159,0,40.09090909090909,1428.959961,161.339996,73.089996
2020-01-11,3.7115967878406217,44.4043710905656,3.2787026985926917,58.883815927587705,0,44.54545454545455,NA,NA,NA
2020-01-12,4.211596787840621,41.9043710905656,4.081601895552847,61.944791537343804,0,49,NA,NA,NA
2020-01-13,14.134790363521866,72.17395181760932,4.581601895552847,69.8443189505036,0,53.45454545454545,1440.030029,163.279999,74.029999
2020-01-14,14.134790363521866,70.67395181760932,5.091764497178864,72.9052945602597,0,57.909090909090914,1430.589966,162.130005,73.160004
2020-01-15,18.846387151362485,73.38554860544994,4.331601895552847,70.86464415375565,0,62.36363636363636,1439.199951,163.179993,76.940002
2020-01-16,18.346387151362485,71.67395181760932,5.091764497178864,72.9052945602597,0,66.81818181818181,1450.160034,166.169998,76.110001
2020-01-17,15.634790363521866,71.17395181760932,4.331601895552847,70.86464415375565,0,71.27272727272728,1479.52002,167.100006,75.559998
2020-01-18,4.211596787840621,38.69277430272497,3.2787026985926917,58.883815927587705,0,75.72727272727272,NA,NA,NA
2020-01-19,4.211596787840621,42.4043710905656,3.2787026985926917,54.80251511457958,0,80.18181818181819,NA,NA,NA
2020-01-20,15.134790363521866,69.17395181760932,4.331601895552847,70.86464415375565,0,84.63636363636364,NA,NA,NA
2020-01-21,18.846387151362485,69.67395181760932,5.091764497178864,74.94594496676379,0,89.0909090909091,1482.25,166.5,76.730003
2020-01-22,18.846387151362485,71.17395181760932,5.091764497178864,70.86464415375565,0,93.54545454545455,1483.869995,165.699997,75.540001
2020-01-23,19.346387151362485,66.4623550297687,4.841764497178864,67.04641755360396,0,98,1484.689941,166.720001,74.470001
2020-01-24,15.634790363521866,61.25075824192808,4.841764497178864,66.02609235035193,0,286,1466.170044,165.039993,73
2020-01-25,4.711596787840621,41.9043710905656,3.2736213977796833,57.86349072433566,0,492,NA,NA,NA
2020-01-26,4.211596787840621,42.4043710905656,3.2787026985926917,53.02493892093195,0,685,NA,NA,NA
2020-01-27,18.846387151362485,64.9623550297687,4.331601895552847,68.06674275685599,0,809,1431.72998,162.279999,70.440002
2020-01-28,19.846387151362485,74.88554860544994,4.331601895552847,69.8443189505036,0,2651,1450.5,165.460007,71.510002
2020-01-29,21.346387151362485,66.4623550297687,5.091764497178864,66.02609235035193,0,589,1456.699951,168.039993,73.580002
2020-01-30,19.346387151362485,71.67395181760932,5.091764497178864,68.06674275685599,0,2068,1454.25,172.779999,74.540001
2020-01-31,18.846387151362485,63.75075824192808,5.091764497178864,67.04641755360396,0,1692,1432.780029,170.229996,76.300003
2020-02-01,4.4231935756812435,39.808742181131194,5.037080193933351,17.775761936476222,0,2111,NA,NA,NA
2020-02-02,4.4231935756812435,39.808742181131194,5.037080193933351,17.775761936476222,0,4749,NA,NA,NA
2020-02-03,39.808742181131194,66.34790363521866,6.142878587853662,21.330914323771466,0,3100,1482.599976,174.380005,87.660004
2020-02-04,22.115967878406217,75.19429078658113,6.142878587853662,21.330914323771466,0,4011,1445.410034,180.119995,85.790001
2020-02-05,22.115967878406217,70.7710972108999,6.142878587853662,21.330914323771466,0,3745,1446.050049,179.899994,86.989998
2020-02-06,17.692774302724974,75.19429078658113,6.142878587853662,21.330914323771466,0,3160,1475.969971,183.630005,87.260002
2020-02-07,13.269580727043731,70.7710972108999,6.142878587853662,21.330914323771466,0,3593,1479.109985,183.889999,88.639999
2020-02-08,4.4231935756812435,39.808742181131194,5.037080193933351,17.775761936476222,0,2734,NA,NA,NA
2020-02-09,4.4231935756812435,39.808742181131194,5.037080193933351,17.775761936476222,0,3030,NA,NA,NA
2020-02-10,17.692774302724974,66.34790363521866,6.142878587853662,21.330914323771466,0,2609,1508.660034,188.699997,89.669998
2020-02-11,22.115967878406217,70.7710972108999,6.142878587853662,21.330914323771466,0,2042,1510.060059,184.440002,88.68
2020-02-12,17.692774302724974,70.7710972108999,6.142878587853662,21.330914323771466,1.7775761936476222,418,1518.630005,184.710007,88.279999
2020-02-13,22.115967878406217,70.7710972108999,6.142878587853662,21.330914323771466,1.7775761936476222,15153,1513.390015,183.710007,89.860001
2020-02-14,17.692774302724974,61.92471005953741,6.142878587853662,21.330914323771466,1.7775761936476222,6527,1518.72998,185.350006,90.949997
2020-02-15,4.4231935756812435,35.38554860544995,5.037080193933351,17.775761936476222,1.7775761936476222,2143,NA,NA,NA
2020-02-16,4.4231935756812435,44.23193575681243,5.037080193933351,17.775761936476222,1.7775761936476222,2183,NA,NA,NA
2020-02-17,17.692774302724974,66.34790363521866,6.142878587853662,21.330914323771466,1.7775761936476222,2035,NA,NA,NA
2020-02-18,22.115967878406217,70.7710972108999,6.142878587853662,24.88606671106671,1.7775761936476222,1882,1519.439941,187.229996,96.389999
2020-02-19,22.115967878406217,75.19429078658113,6.142878587853662,24.88606671106671,0,500,1524.869995,187.279999,103.93
2020-02-20,17.692774302724974,66.34790363521866,6.142878587853662,21.330914323771466,1.7775761936476222,560,1516.98999,184.419998,105.290001
2020-02-21,17.692774302724974,61.92471005953741,6.142878587853662,21.330914323771466,1.7775761936476222,629,1483.459961,178.589996,101.760002
2020-02-22,4.4231935756812435,39.808742181131194,5.037080193933351,17.775761936476222,1.7775761936476222,1761,NA,NA,NA
2020-02-23,4.4231935756812435,39.808742181131194,6.142878587853662,17.775761936476222,1.7775761936476222,380,NA,NA,NA
2020-02-24,17.692774302724974,70.7710972108999,6.142878587853662,21.330914323771466,1.7775761936476222,564,1419.859985,170.889999,105.010002
2020-02-25,17.692774302724974,70.7710972108999,6.142878587853662,24.88606671106671,1.7775761936476222,853,1386.319946,168.070007,107.080002
2020-02-26,17.692774302724974,70.7710972108999,6.142878587853662,21.330914323771466,1.7775761936476222,977,1390.469971,170.169998,106.879997
2020-02-27,22.115967878406217,70.7710972108999,6.142878587853662,24.88606671106671,1.7775761936476222,1360,1314.949951,158.179993,113.550003
2020-02-28,17.692774302724974,66.34790363521866,6.142878587853662,24.88606671106671,1.7775761936476222,1386,1339.25,162.009995,105
2020-02-29,4.4231935756812435,39.808742181131194,5.037080193933351,17.775761936476222,1.7775761936476222,1891,NA,NA,NA
2020-03-01,4.4231935756812435,44.23193575681243,6.142878587853662,17.775761936476222,1.7775761936476222,2381,NA,NA,NA
2020-03-02,22.115967878406217,75.19429078658113,8.354475375694284,24.88606671106671,1.7775761936476222,1983,1386.319946,172.789993,113.110001
2020-03-03,26.539161454087463,79.61748436226239,8.354475375694284,24.88606671106671,1.7775761936476222,2594,1337.719971,164.509995,117.470001
2020-03-04,26.539161454087463,84.04067793794363,8.354475375694284,28.441219098361955,1.7775761936476222,2308,1381.599976,170.550003,116.800003
2020-03-05,30.962355029768705,88.46387151362487,12.285757175707325,28.441219098361955,1.7775761936476222,2811,1314.76001,166.270004,125
2020-03-06,26.539161454087463,92.88706508930612,14.497353963547946,28.441219098361955,1.7775761936476222,3913,1295.73999,161.570007,114.32
2020-03-07,8.846387151362487,53.078322908174925,8.354475375694284,21.330914323771466,1.7775761936476222,4095,NA,NA,NA
2020-03-08,8.846387151362487,61.92471005953741,12.285757175707325,21.330914323771466,1.7775761936476222,3949,NA,NA,NA
2020-03-09,35.38554860544995,115.00303296771233,21.13214432706981,31.9963714856572,1.7775761936476222,4172,1215.790039,150.619995,113.75
2020-03-10,39.808742181131194,123.84942011907482,21.13214432706981,35.551523872952444,3.5551523872952444,4822,1275.170044,160.919998,108.489998
2020-03-11,48.65512933249368,132.6958072704373,31.206304714936515,42.66182864754293,3.5551523872952444,7661,1210.900024,153.630005,110.300003
2020-03-12,53.078322908174925,163.65816230020602,37.84109507845838,53.327285809428666,7.110304774590489,5790,1111.550049,139.059998,109.470001
2020-03-13,70.7710972108999,194.62051732997472,40.052691866299,56.88243819672391,7.110304774590489,14384,1214.27002,158.830002,107.470001
2020-03-14,30.962355029768705,159.23496872452478,18.92054753922919,42.66182864754293,7.110304774590489,11074,NA,NA,NA
2020-03-15,48.65512933249368,203.4669044813372,21.13214432706981,56.88243819672391,7.110304774590489,11269,NA,NA,NA
2020-03-16,159.23496872452478,380.39464750858696,83.54475375694284,113.76487639344782,7.110304774590489,14808,1073,135.419998,107.860001
2020-03-17,176.92774302724973,433.4729704167619,92.39114090830533,138.65094310451454,10.665457161885733,15943,1118.060059,146.570007,111.099998
2020-03-18,190.19732375429348,429.04977684108064,104.67689808401265,159.981857428286,10.665457161885733,19565,1091.189941,140.399994,118.709999
2020-03-19,199.04371090565596,429.04977684108064,109.10009165969389,177.7576193647622,10.665457161885733,27049,1111.670044,142.710007,123.769997
